comparison_topic_key,comparison_topic_text,segment_id,segment_text,tagged_ccp_topics
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Venezuela_2009/658,"A Municipality has competence to govern and administrate its interests, as well as over the management of those matters which are assigned to it by this Constitution and national laws as regards local life, in particular the ordering and promotion of economic and social development, the equipping and providing of household public utility services, the application of policy with respect to these matters on a basis of fairness, justice and social interest content, according with delegation established on law related to this matter, the promotion of participation and improvement, in general, of living conditions in the community, in the following areas:",
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Chile_2021/933,"Municipalities may associate with each other in accordance with the respective constitutional law, such associations may have legal personhood of private law. Likewise, they may constitute or integrate nonprofit corporations or foundations of private law whose purpose shall be the promotion and dissemination of art, culture and sport, or the promotion of communal and productive development works. Municipal participation in them will be governed by the cited constitutional organic law.",['artists']
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",German_Federal_Republic_2014/223,"Municipalities must be guaranteed the right to regulate all local affairs on their own responsibility, within the limits prescribed by the laws. Within the limits of their functions designated by a law, associations of municipalities shall also have the right of self-government according to the laws. The guarantee of self-government shall extend to the bases of financial autonomy; these bases shall include the right of municipalities to a source of tax revenues based upon economic ability and the right to establish the rates at which these sources shall be taxed.",['mun']
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Austria_2013/1462,For the performance of their matters municipalities can by agreement associate in municipality associations. Such an agreement requires the sanction of the supervisory authority. The sanction shall be conferred by ordinance if a lawful agreement between the municipalities concerned is on hand and the formation of the municipal association,
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Mexico_2015/1851,"The Municipal Councils, prior agreement of their councils, can coordinate their activities and collaborate to improve public services and their functions. For this purpose, the approval of the state legislature is necessary. When two or more Municipal Councils belonging to different states want to collaborate, the approval of their respective state legislature is necessary. Likewise, a Municipal Council and the respective state can make and execute agreements to authorize the state to temporarily take charge of one or some public services, directly or through the appropriate body, or when the municipality and the state agree to provide public services in a coordinated manner.",
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Ukraine_2019/1008,"Territorial communities of a village, settlement and city, directly or through the bodies of local self-government established by them, manage the property that is in communal ownership; approve programmes of socio-economic and cultural development, and control their implementation; approve budgets of the respective administrative and territorial units, and control their implementation; establish local taxes and levies in accordance with the law; ensure the holding of local referendums and the implementation of their results; establish, reorganise and liquidate communal enterprises, organisations and institutions, and also exercise control over their activity; resolve other issues of local importance ascribed to their competence by law.",['mun']
83,"Concejales. Véase “Concejo municipal” [Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.].",Cuba_2019/1024,"The municipality is the local society, organized by the law, that constitutes the primary fundamental political-administrative unit in the organization of the nation; a municipality enjoys autonomy and legal personhood, including all the legal effects thereof, with a territorial extension determined according to the necessary economic and social relations of its population as well as the interests of the nation, with the purpose of satisfactorily achieving the local necessities. A municipality is supported through its own funds in addition to allocations that it receives from the Government of the Republic for the purposes of the economic and social development of its territory, and for other goals of the State, under the direction of a Municipal Assembly of People's Power.",
84,"Concejo Municipal. Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.",Venezuela_2009/642,"When two or more Municipalities belonging to the same federal organ have economic, social and physical relations that give the group the characteristics of a metropolitan area, they may organize themselves as metropolitan districts. The organic law enacted for the purpose shall guarantee the democratic and participatory character of the metropolitan government and shall establish its functional competence, as well as its tax, financial and control regime. It shall also ensure that the Municipalities have adequate participation in the entities of the metropolitan government, and shall indicate the manner in which the public consultations that are to decide upon affiliation of the Municipalities with the metropolitan district.",
84,"Concejo Municipal. Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.",Venezuela_2009/658,"A Municipality has competence to govern and administrate its interests, as well as over the management of those matters which are assigned to it by this Constitution and national laws as regards local life, in particular the ordering and promotion of economic and social development, the equipping and providing of household public utility services, the application of policy with respect to these matters on a basis of fairness, justice and social interest content, according with delegation established on law related to this matter, the promotion of participation and improvement, in general, of living conditions in the community, in the following areas:",
84,"Concejo Municipal. Órgano de la Municipalidad de carácter “normativo, resolutivo y fiscalizador”, “encargado de hacer efectiva la participación de la comunidad local” en conformidad a lo dispuesto por la ley orgánica constitucional respectiva (art. 119 de la Constitución, art. 71 LOC MUN). La Constitución menciona el Concejo Municipal a raíz de los órganos que componen la municipalidad y que ejercen la administración comunal.",Cuba_2019/1024,"The municipality is the local society, organized by the law, that constitutes the primary fundamental political-administrative unit in the organization of the nation; a municipality enjoys autonomy and legal personhood, including all the legal effects thereof, with a territorial extension determined according to the necessary economic and social relations of its population as well as the interests of the nation, with the purpose of satisfactorily achieving the local necessities. A municipality is supported through its own funds in addition to allocations that it receives from the Government of the Republic for the purposes of the economic and social development of its territory, and for other goals of the State, under the direction of a Municipal Assembly of People's Power.",
86,"Concesiones mineras. La ley define concesiones mineras como aquellos “derechos reales e inmuebles, distintos e independientes del dominio del predio superficial, aunque tengan un mismo dueño; oponibles al Estado y a cualquier persona; transferibles y transmisibles; susceptibles de hipoteca y otros derechos reales y, en general, de todo acto o contrato; y que se rigen por las mismas leyes civiles que los demás inmuebles, salvo en lo que contraríen disposiciones de esta ley o del Código de Minería.” (Art. 2 LOC CM).",Chile_2021/231,"The law is to determine what substances of those referred to in the preceding paragraph, excepting liquid or gaseous hydrocarbons, may be subject to exploration or exploitation concessions. These concessions shall always be constituted by a judicial decision and will have the duration, will confer the rights and impose the obligations that the law expresses, which shall have the character of constitutional organic. The mining concession required the owner to undertake the necessary activity to satisfy the public interest that justifies its granting. The protection legal frame shall be established by the said law, and will tend directly or indirectly to obtain the fulfillment of that obligation and will contemplate the grounds for revocation in the event of nonfulfillment or simple extinguishment of domain over the concession. In any case, the said grounds and its effects must be established at the time of granting the concession.",['resrce']
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Slovenia_2016/395,"The President of the Government may require a vote of confidence in the Government. If the Government does not receive the support of a majority vote of all deputies, the National Assembly must elect within thirty days a new President of the Government or in a new vote express its confidence in the incumbent President of the Government, or failing this, the President of the Republic dissolves the National Assembly and calls new elections. The President of the Government may tie the issue of confidence to the adoption of a law or to some other decision in the National Assembly. If such decision is not adopted, it is deemed that a vote of no confidence in the Government has been passed.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Turkey_2017/597,"The President of the Republic may issue presidential decrees on matters relating to the executive power. The fundamental rights, individual rights and duties included in the first and second chapters, and the political rights and duties listed in the fourth chapter of the second part of the Constitution, shall not be regulated by presidential decrees. No presidential decrees shall be issued on matters to be regulated exclusively by law embodied in the Constitution. No presidential decree shall be issued on matters explicitly regulated by law. In the case of a conflict between presidential decrees and the laws due to differences in provisions on the same matter, the provisions of law shall prevail. In case the Grand National Assembly of Turkey introduces a law on the same matter, the presidential decree shall become null and void.",['hosdec']
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Turkey_2017/1165,"The provisions of Part Three relating to the functions and powers of the President of the Republic and to the State Supervisory Council under the heading “President of the Republic”; to regulations, National Defence, procedures governing emergency rule under the heading “Council of Ministers”; to all other provisions under the heading “Administration”, except local administration, and except the Atatürk High Institution of Culture, Language and History; and all the provisions relating to the judiciary, except the State Security Courts, shall come into force on publication in the Official Gazette of the adoption by referendum of the Constitution. The provisions concerning the President of the Republic and the Council of Ministers which have not gone into effect shall come into force when the Grand National Assembly of Turkey assumes its functions; the provisions relating to local administrations and to the State Security Courts shall come into force on the promulgation of the relevant laws.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Macedonia_2011/314,"The duty of the President of the Republic is incompatible with the performance of any other public office, profession or appointment in a political party. The President of the Republic is granted immunity. The Constitutional Court decides by a two-thirds majority vote of the total number of judges on any case for withholding immunity and approving of detention for the President of the Republic.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Macedonia_2011/336,The President is held accountable for any violation of the Constitution in exercising his/her rights and duties. The procedure for determining the President of the Republic's answerability is initiated by the Assembly with a two-thirds majority vote of all Representatives. It is the Constitutional Court that decides on the answerability of the President by a two-thirds majority vote of all judges.,
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Honduras_2013/1066,"The Presidential Designates of the Republic, Secretaries and Deputy Secretaries of the Cabinet, Justices of the Supreme Elections Tribunal, Justices and judges of the judicial branch, Presidents, Vice Presidents, Managers, Deputy Managers, Directors, Deputy Directors, Executive Secretaries of decentralized institutions, members of the Superior Tribunal of Accounts, the Attorney General and Deputy Attorney General of the Republic, Justices of the Office of the Superior Tribunal of Accounts who have performed their functions during the six months prior to the date of election of the President of the Republic.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Venezuela_2009/890,"The President of the Republic must proceed to promulgate the law within five days of receipt, without the possibility of new objections. When the President of the Republic considers that the law or any of its articles is unconstitutional, he shall be required to request a ruling from the Constitutional Division of the Supreme Tribunal of Justice, within the ten day period allowed the President for promulgating the law. The Supreme Tribunal of Justice shall reach a decision within 15 days of receipt of the communication from the President of the Republic. If the Tribunal declines to rule the provisions referred to it unconstitutional or fails to reach a decision within the aforementioned period, the President of the Republic must promulgate the law within five days of the Tribunal’s decision or the expiration of such term.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Lithuania_2019/424,"The President of the Republic, implementing the powers vested in him, shall issue acts-decrees. To be valid, the decrees of the President of the Republic, specified in Items 3, 15, 17, and 21 of Article 84 of the Constitution, must be signed by the Prime Minister or an appropriate Minister. Responsibility for such a decree shall lie with the Prime Minister or the Minister who signed it.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Equatorial_Guinea_2012/255,"The President of the Republic is the Head of State, he exercises the Executive Power as Head of Government. He incarnates national unity, defines the policy of the Nation, sees to the respect of the Fundamental Law, assures by his arbitration the functioning of public powers, represents the Nation, and is the guarantor of National Independence. He is elected by universal, direct, and secret suffrage by the simple majority of the votes validly emitted.","['voteun', 'freeelec', 'execnum', 'hoselect']"
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Cote_DIvoire_2016/201,"The President of the Republic is the Head of State. He is the embodiment of national unity. He ensures respect for the Constitution. He ensures the continuity of the State. He is the guarantor of national independence, of the integrity of the territory and of respect for international commitments.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Lebanon_2004/146,"The President of the Republic is elected by secret ballot, by a two-thirds majority of the votes cast in the Chamber of Deputies in the first round. The President's term in office is six years. He may only be reelected after a period of six years has lapsed since the end of his previous term. Nobody is eligible for the Presidency of the Republic if he does not meet the conditions for election to the Chamber of Deputies or is barred by them from being a candidate.","['freeelec', 'hosterml', 'hosterm', 'hosrest', 'hoselect']"
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Czech_Republic_2013/432,"If the office of the Presidency becomes vacant and before a new President of the Republic has been elected or has taken the oath of office, likewise if the President of the Republic is, for serious reasons, incapable of performing his duties, and if the Assembly of Deputies and the Senate adopt a resolution to this effect, the performance of the presidential duties under Article 63 paragraph 1, letters a) to e) and h) to k), and Article 63, paragraph 2 shall devolve upon the Prime Minister. In any period in which the Prime Minister is performing the above-specified presidential duties, the performance of the duties under Article 62 letters a) to e) and k) and further Article 63 paragraph 1 letter f), if the announcement of the election for the Senate is concerned shall devolve upon the Chairperson of the Assembly of Deputies; if the office of the Presidency becomes vacant during a period in which the Assembly of Deputies is dissolved, the performance of these functions shall devolve upon the Chairperson of the Senate, who is also in charge of the office of the Presidency at the time when the Prime Minister is in charge of the designated functions of the President of the Republic pursuant to Article 63 paragraph 1 letter f), if the announcement of the election for the Chamber of Deputies of the Parliament is concerned.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Gabon_2011/125,"In case of a vacancy of the presidential office for whatever reason, or a permanent impairment of the current president, affirmed by the Constitutional Court called upon by the Government through an absolute majority of its members, or failing that, by the Bureaus of the two Chambers of Parliament with a majority of their members, the President of the Senate will temporarily exercise the duties of the President of the Republic, or in case of permanent impairment of the President of the Senate, affirmed by the Constitutional Court called upon in the same conditions, the First Vice-President of the Senate will temporarily carry out the duties of the presidential office.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Albania_2016/1670,"The President of the Republic shall remain as Chairperson of the High Council of Justice until the High Judicial Council is established up to 8 months from the entry into force of this law. The President shall then have the right to appoint judges of the High Court upon the proposal of the High Judicial Council in accordance with article 136 of this law. The President of the Republic shall have the right to appoint a judge to fill one current vacancy of the Constitutional Court under paragraph 2 of this article, followed by the Assembly which fills the other current vacancy in accordance with article 125 of this law.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Uruguay_2004/713,"The President of the Republic may require an express vote of confidence from the General Assembly for the Council of Ministers. To this effect he shall appear before the General Assembly, which shall decide without debate, by the vote of the absolute majority of the total of its members and within a period not greater than seventy-two hours from when the General Assembly receives the communication from the President of the Republic. If it does not meet within the time stipulated or, having met, does not adopt a decision, it shall be understood that the vote of confidence has been granted.",['cabsel']
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Colombia_2015/2220,"The President of the Republic, within no more than eight days from the promulgation of this Constitution, shall designate, for a period of three years, a citizen whose function shall be to prevent routinely or upon the petition of another the use of resources originating from the public treasury or from outside in the electoral campaigns held within the deadline indicated, except when the financing of the electoral campaigns is done in accordance with the Constitution and statute. To this effect, the said citizen shall have the right to request and obtain the cooperation of the Office of the General Prosecutor of the Nation, of the Office of the General Controller of the Republic, of all the public entities which exercise control and oversight powers, and of those organs which exercise criminal police functions.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Egypt_2019/490,"The President of the Republic may appoint one Vice-President or more, determine their competencies, and may delegate them in some of his duties, relieve them of their posts, and accept their resignation. The Vice-Presidents of the Republic shall take the oath before assuming office provided for in article 144 of the Constitution before the President of the Republic. The provisions of the Constitution shall apply to the Vice-Presidents of the Republic in articles 141, 145 and 173.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Egypt_2019/641,"The President of the Republic shall choose the head of the Constitutional Court from among the five oldest deputy heads of the Court. The President of the Republic shall also appoint the deputy head of the Court from among two candidates, one of whom shall be nominated by the General Assembly of the Court, while the head of the court shall nominate the other. The head of the board of commissioners and its members shall be appointed by a decision of the President of the Republic based on the nomination of the head of the Court, and after consulting the General Assembly of the Court, all as prescribed by law.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Peru_2021/232,"All public officials and civil servants are in the service of the Nation. The President of the Republic is the highest official in the service of the Nation, followed by, in this order of importance: Congressmen, members of the Cabinet, members of the Constitutional Court and the Council of the Magistracy, Justices of the Supreme Court, the Prosecutor General of the Nation and the Ombudsman, in the same category, and the representatives of the decentralized agencies and Mayors, in accordance with the law.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Costa_Rica_2020/671,"The President of the Republic will be responsible for the use he makes of those attributions that according to this Constitution correspond to him in an exclusive form. Each Minister of Government will be jointly responsible with the President[,] in respect to the exercise of the attributions that this Constitution grants to both of them. The responsibility for the acts of the Council of Government will extend to all those who concurred with their vote to adopt the respective agreement.",
89,"Confianza exclusiva del Presidente de la República. Calidad que la Constitución o la ley otorga a ciertos funcionarios de la administración del Estado, cuyos cargos o empleos están sujetos a la libre designación y remoción del Presidente de la República (véase “Presidente de la República”, “Funcionarios públicos”). El Presidente tiene la atribución de nombrar ciertos funcionarios de manera autónoma y, que por lo dispuesto en la Constitución o en la ley, responden exclusivamente a su confianza. Al tratarse de una decisión que responde a la mera voluntad del Presidente de la República, su designación no requiere de concurso público y su remoción no demanda sumario administrativo.",Yemen_2015/393,"The President of the Republic may be charged with grand treason, violation of the Constitution, or any other action that prejudices the independence and sovereignty of the country. Such a charge requires the petitioning of half of the House of Representatives. The indictment decision on this matter requires the support of two thirds of the House of Representatives and the Law stipulates the procedures of the trial. If the charge is directed at the President and his deputy, then the Presidency Board of the House of Representatives temporarily assumes the duties of the President and until the giving of the court's verdict on the charge brought against the President. The House of Representatives shall pass the above mentioned law in the first regular round of its sessions once this Constitution takes effect. If the court's verdict finds either of the two guilty, then he is relieved of his post by the Constitution, and is then subject to the normal penalties of the law. In all cases, prescription shall not be applied to crimes stipulated in this article.",
