comparison_topic,segment_id,segment_text,tagged_ccp_topics
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Morocco_2011/543,"The election, the organization and the functioning of the Superior Council of the Judicial Power, as well as the criteria relative to the management of the career of the magistrates and the rules of the disciplinary procedure are established by an organic law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Dominican_Republic_2015/1259,During the elections the Central Electoral Board shall assume the direction and command of the public force in accordance with the law.,
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Papua_New_Guinea_2016/2129,"An Organic Law relating to provinces or provincial government may confer or impose on the Electoral Commission powers, functions, duties or responsibilities in relation to provincial elections.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Chile_2021/817,"The organization and powers of the Electoral Service shall be established by a constitutional organic law. It’s organization, staffing, regime of remunerations and employment statute of its personnel will be established by a law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Djibouti_2010/24,The executive power and legislative power shall proceed from universal suffrage or from the instances elected through it.,
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Nicaragua_2014/930,"To organize and direct the elections, plebiscites, or referenda that are held in accordance with the provisions established in the Constitution and the laws.",['referen']
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Madagascar_2010/365,"The rules of functioning of the Senate, its composition as well as the modalities of election and of designation of its members are established by an organic law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Madagascar_2010/792,"The law establishes the composition, the organization, the attributions and the functioning of the executive and deliberative organs as well as the mode and the conditions for the election of their members.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Madagascar_2010/808,"The composition, the organization, the attributions and the functioning of the executive and deliberative organs as well as the mode and the conditions for the election of their members, are established by the law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Madagascar_2010/823,"The composition, the organization, the attributions and the functioning of the executive and deliberative organs, as well as the mode and the conditions for the election of their members, are established by the law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Uzbekistan_2011/514,"The procedure for the elections, organization of the work and powers of self-governing bodies shall be regulated by law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Romania_2003/878,"The public administration authorities, through which local autonomy is implemented in the communes and cities, are the elected local councils and the mayors elected in accordance with the law.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Greece_2008/1082,Law may provide for compulsory or voluntary associations of local government agencies to execute works or render services or exercise competences belonging to local government agencies; these shall be governed by elected administrations.,
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Cuba_2019/1272,"The organization, functioning, membership, and designation of the electoral authorities at all levels is regulated by the law.",
Filing fee. A legal requirement to pay any fee or deposit as a condition for the submission of a complaint.,El_Salvador_2014/1093,"Any pledge, grant, or payment must be made in accordance with provisions of law.",
Filing fee. A legal requirement to pay any fee or deposit as a condition for the submission of a complaint.,Mauritius_2016/1883,for the payment of fees in respect of any complaint or investigation;,
Filing fee. A legal requirement to pay any fee or deposit as a condition for the submission of a complaint.,Trinidad_and_Tobago_2007/1339,No complainant may be required to pay any fee in respect of his complaint or request or for any investigation to be made by the Ombudsman.,
Incompatibility. A limitation in legislation of candidacy for or election to a representative position based on the perceived undesirability of a person who already holds one public position gaining access to or holding another.,Fiji_2013/1046,A person who holds a public office is deemed to have vacated that office at the time at which his or her signed nomination as a candidate for election to Parliament is delivered to the relevant returning officer or to the person who under the laws governing elections is authorised to receive nominations of candidates.,
Incompatibility. A limitation in legislation of candidacy for or election to a representative position based on the perceived undesirability of a person who already holds one public position gaining access to or holding another.,Macedonia_2011/228,"Cases where a citizen cannot be elected a Representative, owing to the incompatibility of this office with other public offices or professions already held, are defined by law.",
Incompatibility. A limitation in legislation of candidacy for or election to a representative position based on the perceived undesirability of a person who already holds one public position gaining access to or holding another.,Congo_2015/392,"Any ineligibility at the time of the elections known later [ultérieurement], as well as the incompatibilities provided for by the law, causes the loss of the mandate of Deputy or of Senator.",
Incompatibility. A limitation in legislation of candidacy for or election to a representative position based on the perceived undesirability of a person who already holds one public position gaining access to or holding another.,New_Zealand_2014/7295,"The provisions of this Act as to an equality of votes between constituency candidates apply even though, after the close of the poll, one of those candidates dies or the nomination of one of those candidates is cancelled on the grounds of incapacity.",
"Independent Model EMB. An EMB model where elections are organized and managed by an EMB which is institutionally independent and autonomous of the executive branch of government, and which has and manages its own budget.",Central_African_Republic_2016/721,"The National Authority of Elections is a perennial, independent and autonomous organ.",
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Kenya_2010/4727,"""national legislation"" means an Act of Parliament, or a law made under authority conferred by an Act of Parliament;",
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Papua_New_Guinea_2016/5774,"a power to do any other act, provision for the doing of which is made by a Constitutional Law or an Act of the Parliament.",
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Cote_DIvoire_2016/311,Legislative power is exercised by the Parliament. The Parliament is composed of the National Assembly and Senate.,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Finland_2011/132,"The Parliament elects the other necessary bodies, as provided in this Constitution, in another Act or in the Parliament's Rules of Procedure.",
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Namibia_2014/807,perform any other functions assigned to it by the National Assembly or by an Act of Parliament.,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",South_Africa_2012/1433,performing any other executive function provided for in the Constitution or in national legislation.,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",South_Africa_2012/1896,performing any other function assigned to the provincial executive in terms of the Constitution or an Act of Parliament.,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Uganda_2017/1982,an Act of Parliament or any other law or anything in or done under the authority of any law; or,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",St_Kitts_and_Nevis_1983/663,The Supervisor of Elections shall exercise such other functions in relation to elections whether to the National Assembly or to local government authorities as may be prescribed by or under any law enacted by Parliament.,
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Sri_Lanka_2015/2884,"“written law” means any law and subordinate legislation and includes statutes made by a Provincial Council, Orders, Proclamations, Rules, By-laws and Regulations made or issued by anybody or person having power or authority under any law to make or issue the same.",
"Legislation. The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level.",Cuba_2019/871,"The other duties conferred to it through the Constitution, the laws, or assigned by the National Assembly of People's Power or by the Council of State.",
Legislative challenge. Those legal instruments provided for in the constitution or statutes of some countries which grant powers to legislative bodies or other political assemblies to formally resolve certain electoral challenges or issue the certification or the final result of an election.,Bhutan_2008/831,"Parliament shall, by law, make provisions for all matters relating to, or in connection with, elections including the filing of election petitions challenging elections to Parliament and Local Governments, and the Code of Conduct for the political parties and the conduct of the election campaign as well as all other matters necessary for the due constitution of the Houses of Parliament and the Local Governments.",
Legislative challenge. Those legal instruments provided for in the constitution or statutes of some countries which grant powers to legislative bodies or other political assemblies to formally resolve certain electoral challenges or issue the certification or the final result of an election.,Angola_2010/1820,"Exercising jurisdiction in other legal and constitutional, electoral and party political matters, under the terms of the Constitution and the law;",
Member (of an EDRB or EMB). A person appointed or elected to serve on the body or committee which directs the conduct and implementation of the powers and functions of the EDRB or EMB.,Lesotho_2018/1041,"The Electoral Commission shall not, in the performance of its functions, be subject to the direction or control of any person or authority.",
Member (of an EDRB or EMB). A person appointed or elected to serve on the body or committee which directs the conduct and implementation of the powers and functions of the EDRB or EMB.,New_Zealand_2014/8716,"correct any error or omission on the part of the Electoral Commission or any person to whom the Electoral Commission has delegated its functions, duties, or powers.",
Member (of an EDRB or EMB). A person appointed or elected to serve on the body or committee which directs the conduct and implementation of the powers and functions of the EDRB or EMB.,Malawi_2017/799,"The Electoral Commission shall exercise its powers, functions and duties under this section independent of any direction or interference by other authority or any person.",
Offence. A breach of a law or rule; an illegal act.,Tuvalu_2010/203,is an unlawful act.,
Offence. A breach of a law or rule; an illegal act.,Kenya_2010/2607,gross misconduct or misbehaviour.,
Offence. A breach of a law or rule; an illegal act.,Kenya_2010/2852,gross misconduct or misbehaviour.,
Offence. A breach of a law or rule; an illegal act.,Papua_New_Guinea_2016/840,is an unlawful act.,
Offence. A breach of a law or rule; an illegal act.,Zambia_2016/18,An act or omission that contravenes this Constitution is illegal.,
Offence. A breach of a law or rule; an illegal act.,Zambia_2016/3472,"unfair, unreasonable or illegal; or",
Offence. A breach of a law or rule; an illegal act.,Ireland_2019/967,The publication or utterance of seditious or indecent matter is an offence which shall be punishable in accordance with law.,
Offence. A breach of a law or rule; an illegal act.,United_Kingdom_2013/7911,is guilty of an offence.,
Offence. A breach of a law or rule; an illegal act.,United_Kingdom_2013/8188,is guilty of an offence.,
Offence. A breach of a law or rule; an illegal act.,United_Kingdom_2013/16274,commits an offence.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Fiji_2013/1293,monitoring and enforcing compliance with any written law governing elections and political parties.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Guyana_2016/1305,for the criteria for the participation of political parties in the general election;,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,New_Zealand_2014/4632,"The Electoral Commission shall establish and maintain a Register, to be known as the Register of Political Parties, containing a list of the political parties registered under this Part.",['ecom']
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,New_Zealand_2014/4635,An application for the registration of an eligible political party may be made to the Electoral Commission—,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,New_Zealand_2014/4681,"Upon receipt of an application for the registration of a political party, the Electoral Commission shall deal with the application in accordance with this Part and determine whether the party can be registered.",
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Bhutan_2008/525,"A political party shall be registered by the Election Commission on its satisfying the qualifications and requirements set out hereinafter, that:","['ecom', 'partreg']"
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Zimbabwe_2017/1665,The qualifications for registration as a voter and for voting at elections of Members of the National Assembly are set out in the Fourth Schedule.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Maldives_2008/1572,for the purposes of this Chapter apolitical party shall mean a party which has held its elections and post bearers appointed to its posts.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Sao_Tome_and_Principe_2003/941,Judging actions brought to challenge elections and the deliberations of political parties against which the law permits appeals.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Zambia_2016/767,A candidate and a political party shall comply with a prescribed electoral code of conduct.,
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Mexico_2015/698,"Political parties shall be considered as entities of public interest. The legislation shall specify the norms and requirements for their legal registry and their participation in the electoral process, as well as their rights, duties and prerogatives entitled to them.",['partreg']
Party registration. The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.,Panama_2004/484,"The requirements and proceedings established by the law for the formalization of independent nominations shall be equivalent and proportionate to those required for the registration of political parties and the presentation of party nominations, as far as applicable.",
Recall. A direct democracy instrument that allows a specified number of citizens to demand a vote of the electorate on whether an elected holder of public office should be removed from that office before the end of his/her term of office.,Venezuela_2009/258,"When a number of voters equal to or greater than the number of those who elected the official vote in favor of revocation, provided that a number of voters equal to or greater than 25% of the total number of registered voters have voted in the revocation election, the official’s mandate shall be deemed revoked, and immediate action shall be taken to fill the permanent vacancy in accordance with the provided for in this Constitution and by law.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Fiji_2013/1019,A candidate for election to Parliament must be either nominated by a registered political party or nominated as an independent candidate in accordance with the laws governing elections.,['lhselect']
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Fiji_2013/1293,monitoring and enforcing compliance with any written law governing elections and political parties.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Guyana_2016/1305,for the criteria for the participation of political parties in the general election;,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,New_Zealand_2014/4703,shall action be taken in relation to any application for the registration of a political party.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,New_Zealand_2014/4635,An application for the registration of an eligible political party may be made to the Electoral Commission—,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,New_Zealand_2014/4641,An application for the registration of an eligible political party—,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,New_Zealand_2014/4681,"Upon receipt of an application for the registration of a political party, the Electoral Commission shall deal with the application in accordance with this Part and determine whether the party can be registered.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Poland_2009/529,"The principles of and procedures for the nomination of candidates and the conduct of the elections, as well as the requirements for validity of the elections, shall be specified by statute.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Finland_2011/93,"The right to nominate candidates in parliamentary elections belongs to registered political parties and, as provided by an Act, to groups of persons who have the right to vote.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Bhutan_2008/525,"A political party shall be registered by the Election Commission on its satisfying the qualifications and requirements set out hereinafter, that:","['ecom', 'partreg']"
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Cape_Verde_1992/869,"The voting process and verification of the votes shall be supervised by candidates, political parties, and competing political forces through delegates appointed by them for each election.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Sao_Tome_and_Principe_2003/941,Judging actions brought to challenge elections and the deliberations of political parties against which the law permits appeals.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Zambia_2016/767,A candidate and a political party shall comply with a prescribed electoral code of conduct.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Zambia_2016/1736,The qualifications and disqualifications applying to a presidential candidate apply to the person selected by the presidential candidate to be the running mate.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Mexico_2015/602,"To be elected for all popular election positions, having met all the requirements set by the law. The right to request registration of candidates before the electoral authority corresponds to the political parties, as well as citizens requesting independent registration and who meet the requirements, conditions and terms set by the law;",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Portugal_2005/1466,Nominations shall be submitted by political parties as laid down by law. Parties may submit such nominations individually or in coalition and their lists of candidates may include citizens who are not registered members of any of the parties in question.,
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Panama_2004/484,"The requirements and proceedings established by the law for the formalization of independent nominations shall be equivalent and proportionate to those required for the registration of political parties and the presentation of party nominations, as far as applicable.",
Registration of political parties and candidates. The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.,Israel_2013/13,A list of candidates for the Knesset shall be submitted only by a party; The means of association and registering of parties and the conditions for submitting a list of candidates shall be determined by law.,
Stare decisis. A principle of legal decision making that provides that a previous judicial decision must be followed in identical circumstances.,Azerbaijan_2016/1003,"Judges decide the cases in an unbiased, fair way, following the legal equality of the sides, on the basis of facts and in accordance with the law.",['fairtri']
Stare decisis. A principle of legal decision making that provides that a previous judicial decision must be followed in identical circumstances.,Azerbaijan_2016/1007,Justice is administered on the basis of legal equality of citizens before the law and the court.,
Stare decisis. A principle of legal decision making that provides that a previous judicial decision must be followed in identical circumstances.,Burundi_2018/755,Any judicial decision must be legitimated before being pronounced in a public hearing.,
Stare decisis. A principle of legal decision making that provides that a previous judicial decision must be followed in identical circumstances.,Sao_Tome_and_Principe_2003/858,The decisions of the courts are founded upon the cases and in the terms prescribed in the law.,
Tabulation. The process of compiling the result of counting of votes cast in an electoral process. Also known as amalgamation of results.,East_Timor_2002/1163,to validate and proclaim the results of the electoral process.,
"Writ of certiorari. A writ that a superior appellate court issues at its discretion to an inferior court, ordering it to produce a certified record of a particular case it has tried in order to determine whether any irregularities or errors occurred that justify a review of the case.",United_Kingdom_2013/3342,"an application to set aside a verdict, finding or judgment in any cause or matter in the High Court which has been tried, or in which any issue has been tried, by a jury;",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Dominican_Republic_2015/1211,"The political regional, provincial or municipal parties or groups shall make the presentation of candidates to the municipal and municipal district elections for male or female mayor, male or female aldermen, male or female directors and their substitutes, as well as the chairpersons, in accordance with the Constitution and the laws that rule the subject. The number of aldermen and their substitutes shall be determined by the law, in proportion to the number or inhabitants, in no case may they be less than five for the National District and the municipalities and never less than three for the municipal districts. They shall be elected every four years by the people of their jurisdiction in the form established by law.",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Chile_2021/1203,"In each electoral district, the lists made up of an even number of candidates must have the same number of women and men. If the total number of applicants is odd, one sex cannot exceed the other in more than one. The provisions of the fifth paragraph of Article 4 of Law No. 18,700, Popular Voting and Scrutiny Act, whose consolidated, coordinated and systematized text was set by Decree with Force of Law No. 2, of 2017, of the Ministry of the General Secretariat of the Presidency, will not be applicable.",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Chile_2021/1208,"The electoral system for the Constitutional Convention will be oriented to achieve equal representation of men and women. With this objective, in the districts that distribute an even number of seats, the same number of men and women should be elected, while in the districts that distribute an odd number of seats, a difference of seats greater than one cannot result, between men and women.",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Burundi_2018/572,"The elections of deputies occur following the ballot of bloc lists by proportional representation. These lists must have a multiethnic character and take into account the balance between men and women. For three candidates registered on a list, only two can belong to the same ethnic group, and at least one of three must be a woman.",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Taiwan_2005/694,"Members for the seats set forth in Subparagraph 1 of the preceding paragraph shall be elected in proportion to the population of each Special Municipality, county, or city, which shall be divided into electoral constituencies equal in number to the number of members to be elected. Members for the seats set forth in Subparagraph 3 shall be elected from the lists of political parties in proportion to the number of votes won by each party that obtains at least 5 percent of the total vote, and the number of elected female members on each party's list shall not be less than one-half of the total number.",['lhquota']
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Nicaragua_2014/502,"In the case of officials elected by popular vote on the basis of closed lists proposed by political parties in accordance with the principle of proportional representation, deputies in the National Assembly, deputies in the Central-American Parliament, Municipal Councilors, and Regional Councilors, the list of candidates must contain fifty percent of male and fifty percent of male candidates, presented in a fair and alternating order; the same relation between the sexes must be maintained between the mandate holders and their alternates, where applicable.","['lhquota', 'region', 'intorgs']"
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Nicaragua_2014/975,"The nomination for the posts of Mayor and Vice Mayor must be based on the principle of the equal and fair treatment of the sexes in the exercise of local power, as one of them must be a woman and the other a man, respecting the proportionality between the two sexes. The political parties and electoral alliances must present in their list of candidates for Mayor, Vice Mayor and Councilors fifty percent of men and fifty percent of women.",
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Afghanistan_2004/281,"The number of the members of the House of People shall be proportionate to the population of each constituency, not exceeding the maximum of 250 individuals. Electoral constituencies as well as other related issues shall be determined by the elections law. The elections law shall adopt measures to attain, through the electorate system, general and fair representation for all the people of the country, and proportionate to the population of every province, on average, at least two females shall be the elected members of the House of People from each province.","['lhseats', 'lhquota']"
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Nepal_2016/893,"Notwithstanding anything contained elsewhere in this Article, women should account for at least one third of total members elected from each party in Federal Parliament. In case, one-third percentage of  women are not elected while being elected under section (a) of clause (1), and section (a), clause (2) of Article 84, the party that fails to ensure one-third representation shall have to elect at least one-third of total numbers as woman in the Federal Parliament while electing members under section (b) of clause (1).","['lhquota', 'uhquota']"
"Electoral gender quota. Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office.",Nepal_2016/1775,"Notwithstanding anything contained elsewhere in this Article, at least one third of the total number of members to be elected from each political party to the Provincial Assembly shall have to be women. In case at least one third of the candidates elected from a political party pursuant to section (a) of clause (1) are not women, the political party shall have to make provision of electing at least one third women while electing members pursuant to section (b) of the same clause.",
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Papua_New_Guinea_2016/1793,a number of women elected from a single-member women's electorates as defined under an Organic Law.,['lhquota']
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Chile_2021/1203,"In each electoral district, the lists made up of an even number of candidates must have the same number of women and men. If the total number of applicants is odd, one sex cannot exceed the other in more than one. The provisions of the fifth paragraph of Article 4 of Law No. 18,700, Popular Voting and Scrutiny Act, whose consolidated, coordinated and systematized text was set by Decree with Force of Law No. 2, of 2017, of the Ministry of the General Secretariat of the Presidency, will not be applicable.",
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Burundi_2018/562,The number of candidates who can be elected by circumscription is set by electoral law proportional to the population.,
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Zimbabwe_2017/1578,"in which male and female candidates are listed alternately, every list being headed by a female candidate.",
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Zimbabwe_2017/3728,"in which male and female candidates are listed alternately, every list being headed by a female candidate.",
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Taiwan_2005/527,"In the various elections, a certain number of mandates shall be reserved to women; the law provides for the implementation of this objective.",
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Taiwan_2005/77,The number of Delegates to be elected by women’s organizations shall be determined by law.,
Legislated candidate quota. This quota provision reserves a number of places on electoral lists for female candidates.,Cape_Verde_1992/1014,The number of candidates on each list proposed for election must equal the number of seats attributed to the respective electoral college.,
Reserved seats. Reserves a number of seats in a legislated assembly for women.,Papua_New_Guinea_2016/1793,a number of women elected from a single-member women's electorates as defined under an Organic Law.,['lhquota']
Certified results. Final election results duly certified and published after all challenges are addressed.,Congo_2015/677,It examines the claims and proclaims the definitive results of the ballot.,
Certified results. Final election results duly certified and published after all challenges are addressed.,Lesotho_2018/1013,"to ascertain, publish and declare the results of elections an referenda;",['referen']
Certified results. Final election results duly certified and published after all challenges are addressed.,Zimbabwe_2017/2167,challenges to election results.,
Certified results. Final election results duly certified and published after all challenges are addressed.,Uganda_2017/894,"to ascertain, publish and declare in writing under its seal the results of the elections and referenda;",['referen']
Certified results. Final election results duly certified and published after all challenges are addressed.,Nicaragua_2014/944,"To undertake the final count of the votes cast in the elections, plebiscites and referenda, and to make the final announcement of the results.",['referen']
Certified results. Final election results duly certified and published after all challenges are addressed.,Mozambique_2007/1888,"evaluate electoral complaints and appeals in the last instance, and validate and proclaim electoral results, in the terms of the law;",
Certified results. Final election results duly certified and published after all challenges are addressed.,Colombia_2015/1407,"To count the votes in all national elections, to declare the results of the election, and to issue the certifications as appropriate.",
